parola,categoria,prefisso_numerico,info_grammaticale
abbagliante,alta_disponibilita,,"p.pres., agg., s.m."
abbaiare,alta_disponibilita,,v.intr. e tr.
abbandonare,fondamentale,,v.tr.
abbandonato,alto_uso,,"p.pass., agg., s.m."
abbandono,alto_uso,,s.m.
abbassare,fondamentale,,v.tr.
abbasso,alta_disponibilita,,"avv., inter."
abbastanza,fondamentale,,avv.
abbattere,alto_uso,,v.tr.
abbeverare,alta_disponibilita,,v.tr.
abbigliamento,alto_uso,,s.m.
abbinare,alto_uso,,v.tr.
abbonamento,alto_uso,,s.m.
abbonare,alta_disponibilita,1,v.tr.
abbondante,alto_uso,,"p.pres., agg."
abbondare,alta_disponibilita,,v.intr.
abbottonare,alta_disponibilita,,v.tr.
abbracciare,alto_uso,1,v.tr.
abbraccio,alto_uso,,s.m.
abbreviare,alta_disponibilita,,v.tr.
abbronzare,alta_disponibilita,,v.tr.
abete,alta_disponibilita,,s.m.
abile,alto_uso,,agg.
abilità,alto_uso,,s.f.inv.
abisso,alto_uso,,s.m.
abitante,alto_uso,,"p.pres., agg., s.m."
abitare,fondamentale,,"v.intr. e tr., s.m."
abitazione,alto_uso,,s.f.
abito,fondamentale,,s.m.
abituale,alto_uso,,agg.
abituare,fondamentale,,v.tr.
abitudine,fondamentale,,s.f.
abolire,alto_uso,,v.tr.
abortire,alto_uso,,v.intr.
aborto,alta_disponibilita,,s.m.
abruzzese,alta_disponibilita,,"agg., s.m. e f."
abusare,alta_disponibilita,,v.intr.
abuso,alto_uso,,s.m.
acca,alta_disponibilita,,s.f. e m.inv.
accademia,alto_uso,,s.f.
accademico,alto_uso,,"agg., s.m."
accadere,fondamentale,,v.intr.
accampamento,alta_disponibilita,,s.m.
accanto,fondamentale,,avv.
accappatoio,alta_disponibilita,,s.m.
accarezzare,alto_uso,,v.tr.
accattone,alta_disponibilita,,s.m.
accavallare,alta_disponibilita,,v.tr.
accecare,alta_disponibilita,,"v.tr., v.intr."
accedere,alto_uso,,v.intr.
accelerare,alto_uso,,v.tr. e intr.
acceleratore,alta_disponibilita,,"agg., s.m."
accelerazione,alto_uso,,s.f.
accendere,fondamentale,,v.tr.
accendino,alto_uso,,s.m.
accennare,alto_uso,,v.tr. e intr.
accenno,alta_disponibilita,,s.m.
accentare,alta_disponibilita,,v.tr.
accertamento,alto_uso,,s.m.
accertare,alto_uso,,v.tr.
acceso,alto_uso,,"p.pass., agg."
accesso,fondamentale,,s.m.
accessorio,alto_uso,,"agg., s.m."
accetta,alta_disponibilita,,s.f.
accettabile,alto_uso,,agg.
accettare,fondamentale,,v.tr.
acchiappare,alta_disponibilita,,v.tr.
acciacco,alta_disponibilita,,s.m.
acciaio,alto_uso,,s.m.
accidente,alto_uso,,s.m.
acciuga,alta_disponibilita,,s.f.
accogliente,alta_disponibilita,,"p.pres., agg."
accoglienza,alto_uso,,s.f.
accogliere,fondamentale,,v.tr.
accoltellare,alta_disponibilita,,v.tr.
accomodare,alto_uso,,v.tr. e intr.
accompagnare,alto_uso,,v.tr.
acconsentire,alta_disponibilita,,v.intr. e tr.
accontentare,alto_uso,,v.tr.
accorciare,alta_disponibilita,,"v.tr., v.intr."
accordare,alto_uso,,v.tr.
accordo,fondamentale,,s.m.
accorgersi,fondamentale,,v.pronom.intr.
accorrere,alta_disponibilita,,v.intr.
accostare,alto_uso,,v.tr. e intr.
accudire,alta_disponibilita,,v.intr. e tr.
accumulare,alto_uso,,v.tr.
accumulatore,alta_disponibilita,,"agg., s.m."
accurato,alto_uso,,"p.pass., agg."
accusa,fondamentale,,s.f.
accusare,fondamentale,,v.tr.
accento,alto_uso,,s.m.
acerbo,alta_disponibilita,,agg.
aceto,alta_disponibilita,,s.m.
acido,alto_uso,,"agg., s.m."
acqua,fondamentale,,s.f.
acquarello,alta_disponibilita,,s.m.
acquario,alta_disponibilita,1,s.m.
acquasanta,alta_disponibilita,,s.f.
acquisire,alto_uso,,v.tr.
acquisizione,alto_uso,,s.f.
acquistare,fondamentale,,v.tr. e intr.
acquisto,fondamentale,,s.m.
acquolina,alta_disponibilita,,s.f.
acrobata,alta_disponibilita,1,s.m. e f.
acuto,alto_uso,,"agg., s.m."
adattare,alto_uso,,v.tr.
adattatore,alta_disponibilita,,s.m.
adatto,fondamentale,,agg.
addetto,alto_uso,1,"p.pass., agg., s.m."
addio,alto_uso,,"inter., s.m."
addirittura,alto_uso,,avv.
addizione,alta_disponibilita,,s.f.
addobbare,alta_disponibilita,,v.tr.
addolcire,alta_disponibilita,,v.tr.
addomesticare,alta_disponibilita,,v.tr.
addormentarsi,alto_uso,,v.pronom.intr.
addormentato,alta_disponibilita,,"p.pass., agg."
addossare,fondamentale,,v.tr.
addosso,alta_disponibilita,,"avv., inter."
addrizzare,alta_disponibilita,,v.tr.
adeguare,alto_uso,,v.tr.
adeguato,alto_uso,,"p.pass., agg., s.m."
aderente,alta_disponibilita,,"p.pres., agg., s.m. e f."
aderire,alto_uso,,v.intr.
adesione,alto_uso,,s.f.
adesso,fondamentale,,avv.
adolescente,fondamentale,,"agg., s.m. e f."
adolescenza,alto_uso,,s.f.
adoperare,alto_uso,,"v.tr., v.intr."
adorare,alto_uso,,v.tr.
adottare,fondamentale,,v.tr.
adozione,alto_uso,,s.f.
adriatico,alta_disponibilita,,agg.
adulto,fondamentale,,"agg., s.m."
aereo,fondamentale,1,"agg., s.m."
