parola,categoria,prefisso_numerico,info_grammaticale,pos,gender,info_verbali
abbagliante,alta_disponibilita,,"p.pres., agg., s.m.",verbo; participio presente; aggettivo; sostantivo,maschile,p.pres.
abbaiare,alta_disponibilita,,v.intr. e tr.,verbo,,v.intr. e tr.
abbandonare,fondamentale,,v.tr.,verbo,,v.tr.
abbandonato,alto_uso,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
abbandono,alto_uso,,s.m.,sostantivo,maschile,
abbassare,fondamentale,,v.tr.,verbo,,v.tr.
abbasso,alta_disponibilita,,"avv., inter.",avverbio; interiezione,,
abbastanza,fondamentale,,avv.,avverbio,,
abbattere,alto_uso,,v.tr.,verbo,,v.tr.
abbeverare,alta_disponibilita,,v.tr.,verbo,,v.tr.
abbigliamento,alto_uso,,s.m.,sostantivo,maschile,
abbinare,alto_uso,,v.tr.,verbo,,v.tr.
abbonamento,alto_uso,,s.m.,sostantivo,maschile,
abbonare,alta_disponibilita,1,v.tr.,verbo,,v.tr.
abbondante,alto_uso,,"p.pres., agg.",verbo; participio presente; aggettivo,,p.pres.
abbondare,alta_disponibilita,,v.intr.,verbo,,v.intr.
abbottonare,alta_disponibilita,,v.tr.,verbo,,v.tr.
abbracciare,alto_uso,1,v.tr.,verbo,,v.tr.
abbraccio,alto_uso,,s.m.,sostantivo,maschile,
abbreviare,alta_disponibilita,,v.tr.,verbo,,v.tr.
abbronzare,alta_disponibilita,,v.tr.,verbo,,v.tr.
abete,alta_disponibilita,,s.m.,sostantivo,maschile,
abile,alto_uso,,agg.,aggettivo,,
abilità,alto_uso,,s.f.inv.,sostantivo,femminile; invariabile,
abisso,alto_uso,,s.m.,sostantivo,maschile,
abitante,alto_uso,,"p.pres., agg., s.m.",verbo; participio presente; aggettivo; sostantivo,maschile,p.pres.
abitare,fondamentale,,"v.intr. e tr., s.m.",verbo; sostantivo,maschile,v.intr. e tr.
abitazione,alto_uso,,s.f.,sostantivo,femminile,
abito,fondamentale,,s.m.,sostantivo,maschile,
abituale,alto_uso,,agg.,aggettivo,,
abituare,fondamentale,,v.tr.,verbo,,v.tr.
abitudine,fondamentale,,s.f.,sostantivo,femminile,
abolire,alto_uso,,v.tr.,verbo,,v.tr.
abortire,alto_uso,,v.intr.,verbo,,v.intr.
aborto,alta_disponibilita,,s.m.,sostantivo,maschile,
abruzzese,alta_disponibilita,,"agg., s.m. e f.",aggettivo; sostantivo,maschile e femminile,
abusare,alta_disponibilita,,v.intr.,verbo,,v.intr.
abuso,alto_uso,,s.m.,sostantivo,maschile,
acca,alta_disponibilita,,s.f. e m.inv.,sostantivo,femminile e maschile; invariabile,
accademia,alto_uso,,s.f.,sostantivo,femminile,
accademico,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
accadere,fondamentale,,v.intr.,verbo,,v.intr.
accampamento,alta_disponibilita,,s.m.,sostantivo,maschile,
accanto,fondamentale,,avv.,avverbio,,
accappatoio,alta_disponibilita,,s.m.,sostantivo,maschile,
accarezzare,alto_uso,,v.tr.,verbo,,v.tr.
accattone,alta_disponibilita,,s.m.,sostantivo,maschile,
accavallare,alta_disponibilita,,v.tr.,verbo,,v.tr.
